Rk,Team,Date,Unnamed: 3,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,RawDate
1,KCR,2025-06-05,@,STL,"W, 7-5",41,38,7,12,7,3,0,2,7,2,0,3,6,.316,.366,.553,.918,21,1,0,0,0,0,2025-06-05 (2)
2,STL,2025-06-05,,KCR,"L, 5-7",39,33,5,7,5,1,0,1,5,1,0,4,13,.212,.333,.333,.667,11,1,2,0,0,0,2025-06-05 (2)
3,KCR,2025-06-05,@,STL,"L, 5-6 (10)",43,40,5,12,9,2,0,1,5,1,0,2,4,.300,.326,.425,.751,17,1,0,0,1,1,2025-06-05 (1)
4,STL,2025-06-05,,KCR,"W, 6-5 (10)",40,35,6,8,6,1,0,1,6,0,0,3,3,.229,.300,.343,.643,12,1,1,0,1,1,2025-06-05 (1)
5,ARI,2025-06-05,@,ATL,"W, 11-10",43,37,11,12,6,3,0,3,11,0,1,6,7,.324,.419,.649,1.067,24,2,0,0,0,0,2025-06-05
6,ATL,2025-06-05,,ARI,"L, 10-11",41,37,10,12,4,5,0,3,10,0,1,4,9,.324,.390,.703,1.093,26,2,0,0,0,0,2025-06-05
7,BAL,2025-06-05,@,SEA,"W, 4-3",35,33,4,6,3,1,0,2,3,0,0,2,10,.182,.229,.394,.623,13,0,0,0,0,0,2025-06-05
8,CHC,2025-06-05,@,WSN,"W, 7-1",47,43,7,15,11,2,0,2,7,2,0,4,7,.349,.404,.535,.939,23,0,0,0,0,0,2025-06-05
9,CHW,2025-06-05,,DET,"W, 3-2 (10)",42,33,3,11,10,1,0,0,3,0,0,6,5,.333,.425,.364,.789,12,3,0,2,1,1,2025-06-05
10,CLE,2025-06-05,@,NYY,"L, 0-4",32,30,0,3,3,0,0,0,0,2,0,2,10,.100,.156,.100,.256,3,1,0,0,0,0,2025-06-05
11,DET,2025-06-05,@,CHW,"L, 2-3 (10)",40,36,2,8,7,0,0,1,2,1,0,4,9,.222,.300,.306,.606,11,0,0,0,0,1,2025-06-05
12,HOU,2025-06-05,@,PIT,"W, 8-2",39,36,8,10,6,2,0,2,8,3,0,2,7,.278,.308,.500,.808,18,0,0,0,1,0,2025-06-05
13,LAD,2025-06-05,,NYM,"W, 6-5",36,32,6,9,7,2,0,0,5,0,0,4,7,.281,.361,.344,.705,11,2,0,0,0,1,2025-06-05
14,MIN,2025-06-05,@,ATH,"L, 3-14",35,30,3,5,3,1,0,1,3,0,0,5,7,.167,.286,.300,.586,9,3,0,0,0,0,2025-06-05
