Rk,Team,Date,Unnamed: 3,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,RawDate
49,KCR,2025-06-19,@,TEX,"W, 4-1",36,32,4,6,1,2,0,3,4,0,0,4,2,.188,.278,.531,.809,17,1,0,0,0,1,2025-06-19
50,LAD,2025-06-19,,SDP,"L, 3-5",39,33,3,6,6,0,0,0,2,0,0,5,7,.182,.308,.182,.490,6,0,1,0,0,0,2025-06-19
51,MIL,2025-06-19,@,CHC,"W, 8-7",41,37,8,12,7,2,0,3,8,2,1,4,7,.324,.390,.622,1.012,23,1,0,0,0,1,2025-06-19
52,MIN,2025-06-19,@,CIN,"W, 12-5",53,44,12,17,7,6,0,4,12,0,0,8,10,.386,.491,.795,1.286,35,0,1,0,0,0,2025-06-19
53,NYM,2025-06-19,@,ATL,"L, 1-7",34,33,1,6,4,2,0,0,1,2,0,1,13,.182,.206,.242,.448,8,0,0,0,0,0,2025-06-19
54,NYY,2025-06-19,,LAA,"W, 7-3",35,31,7,12,7,3,0,2,7,0,1,3,6,.387,.429,.677,1.106,21,2,0,0,1,0,2025-06-19
55,ATH,2025-06-19,,HOU,"W, 6-4 (10)",42,39,6,11,6,1,0,4,5,1,0,3,11,.282,.333,.615,.949,24,0,0,0,0,0,2025-06-19
56,PHI,2025-06-19,@,MIA,"W, 2-1",34,30,2,6,4,1,0,1,2,0,1,3,6,.200,.294,.333,.627,10,1,1,0,0,0,2025-06-19
57,SDP,2025-06-19,@,LAD,"W, 5-3",39,34,5,11,7,2,1,1,5,0,0,1,6,.324,.368,.529,.898,18,2,2,1,1,0,2025-06-19
58,SFG,2025-06-19,,CLE,"W, 2-1",32,26,2,5,4,1,0,0,2,0,1,4,7,.192,.323,.231,.553,6,2,1,1,0,0,2025-06-19
59,TBR,2025-06-19,,BAL,"L, 1-4",36,31,1,8,7,1,0,0,1,1,0,3,13,.258,.343,.290,.633,9,1,1,1,0,0,2025-06-19
60,TEX,2025-06-19,,KCR,"L, 1-4",33,31,1,3,2,1,0,0,1,0,0,2,7,.097,.152,.129,.281,4,0,0,0,0,0,2025-06-19
61,TOR,2025-06-19,,ARI,"L, 5-9",35,31,5,6,2,1,0,3,5,0,0,2,7,.194,.286,.516,.802,16,2,2,0,0,0,2025-06-19
62,WSN,2025-06-19,,COL,"W, 4-3 (11)",38,36,4,8,5,1,0,2,4,0,1,0,5,.222,.222,.417,.639,15,0,0,2,0,0,2025-06-19
63,LAA,2025-06-18,@,NYY,"W, 3-2",39,34,3,8,6,0,0,2,3,1,1,5,7,.235,.333,.412,.745,14,1,0,0,0,0,2025-06-18
64,ARI,2025-06-18,@,TOR,"L, 1-8",35,33,1,6,5,0,1,0,1,0,0,1,12,.182,.229,.242,.471,8,0,1,0,0,0,2025-06-18
65,ATL,2025-06-18,,NYM,"W, 5-0",35,30,5,7,3,1,1,2,3,0,0,4,5,.233,.314,.533,.848,16,0,0,0,1,0,2025-06-18
66,BAL,2025-06-18,@,TBR,"L, 8-12",37,35,8,7,3,1,0,3,8,1,0,1,7,.200,.243,.486,.729,17,0,1,0,0,0,2025-06-18
67,BOS,2025-06-18,@,SEA,"W, 3-1",33,30,3,3,1,0,0,2,3,1,0,2,7,.100,.182,.300,.482,9,0,1,0,0,0,2025-06-18
68,CIN,2025-06-18,,MIN,"W, 4-2 (6)",25,25,4,9,7,1,0,1,4,0,1,0,5,.360,.360,.520,.880,13,0,0,0,0,0,2025-06-18
69,CLE,2025-06-18,@,SFG,"W, 4-2",36,33,4,7,4,2,0,1,4,1,1,3,10,.212,.278,.364,.641,12,0,0,0,0,0,2025-06-18
70,COL,2025-06-18,@,WSN,"W, 3-1",34,33,3,8,3,2,1,2,3,0,0,0,9,.242,.242,.545,.788,18,1,0,1,0,0,2025-06-18
71,MIA,2025-06-18,,PHI,"L, 2-4",36,33,2,7,5,1,0,1,2,0,0,3,12,.212,.278,.333,.611,11,1,0,0,0,0,2025-06-18
72,HOU,2025-06-18,@,ATH,"W, 11-4",48,45,11,20,15,2,0,3,11,0,0,3,8,.444,.479,.689,1.168,31,2,0,0,0,0,2025-06-18
73,KCR,2025-06-18,@,TEX,"W, 6-3",38,33,6,7,4,1,1,1,6,1,1,4,6,.212,.297,.394,.691,13,0,0,1,0,1,2025-06-18
74,LAD,2025-06-18,,SDP,"W, 4-3",35,29,4,7,3,2,1,1,4,0,0,4,6,.241,.343,.483,.826,14,2,1,0,1,0,2025-06-18
75,MIN,2025-06-18,@,CIN,"L, 2-4 (6)",24,21,2,3,2,0,0,1,2,0,0,2,4,.143,.250,.286,.536,6,0,1,0,0,0,2025-06-18
76,NYM,2025-06-18,@,ATL,"L, 0-5",33,32,0,5,5,0,0,0,0,0,0,1,7,.156,.182,.156,.338,5,0,0,0,0,0,2025-06-18
77,NYY,2025-06-18,,LAA,"L, 2-3",34,29,2,3,1,0,0,2,2,0,1,4,10,.103,.235,.310,.546,9,0,1,0,0,0,2025-06-18
78,ATH,2025-06-18,,HOU,"L, 4-11",39,33,4,8,5,2,0,1,4,0,1,6,7,.242,.359,.394,.753,13,2,0,0,0,0,2025-06-18
79,PHI,2025-06-18,@,MIA,"W, 4-2",42,36,4,9,6,2,0,1,4,1,0,6,9,.250,.357,.389,.746,14,0,0,0,0,0,2025-06-18
80,SDP,2025-06-18,@,LAD,"L, 3-4",35,34,3,7,4,3,0,0,3,0,0,0,9,.206,.200,.294,.494,10,0,0,0,1,0,2025-06-18
81,SEA,2025-06-18,,BOS,"L, 1-3",33,32,1,6,4,2,0,0,0,0,0,1,10,.188,.212,.250,.462,8,1,0,0,0,0,2025-06-18
82,SFG,2025-06-18,,CLE,"L, 2-4",36,32,2,6,5,0,0,1,2,0,0,3,7,.188,.278,.281,.559,9,1,1,0,0,0,2025-06-18
83,TBR,2025-06-18,,BAL,"W, 12-8",45,40,12,18,14,1,2,1,12,3,1,5,7,.450,.511,.650,1.161,26,0,0,0,0,0,2025-06-18
84,TEX,2025-06-18,,KCR,"L, 3-6",39,37,3,12,6,5,1,0,3,0,1,1,9,.324,.359,.514,.872,19,1,1,0,0,0,2025-06-18
85,TOR,2025-06-18,,ARI,"W, 8-1",43,34,8,13,8,4,0,1,8,0,1,6,5,.382,.476,.588,1.064,20,1,1,0,1,1,2025-06-18
86,WSN,2025-06-18,,COL,"L, 1-3",36,33,1,7,6,1,0,0,1,2,1,3,4,.212,.278,.242,.520,8,0,0,0,0,0,2025-06-18
87,LAA,2025-06-17,@,NYY,"W, 4-0",38,34,4,8,7,1,0,0,4,0,0,1,13,.235,.278,.265,.542,9,0,1,1,0,1,2025-06-17
88,ARI,2025-06-17,@,TOR,"L, 4-5",41,34,4,8,5,3,0,0,3,0,1,5,7,.235,.366,.324,.689,11,0,2,0,0,0,2025-06-17
89,ATL,2025-06-17,,NYM,"W, 5-4 (10)",40,34,5,7,6,1,0,0,5,0,0,5,5,.206,.300,.235,.535,8,2,0,0,1,1,2025-06-17
90,BAL,2025-06-17,@,TBR,"W, 5-1",40,39,5,13,11,1,0,1,5,1,1,1,9,.333,.350,.436,.786,17,0,0,0,0,1,2025-06-17
91,BOS,2025-06-17,@,SEA,"L, 0-8",31,28,0,2,2,0,0,0,0,0,0,2,10,.071,.161,.071,.233,2,1,1,0,0,0,2025-06-17
92,CHC,2025-06-17,,MIL,"W, 5-3",34,31,5,8,3,3,0,2,5,0,0,2,8,.258,.324,.548,.872,17,1,1,0,0,0,2025-06-17
93,CHW,2025-06-17,,STL,"L, 2-12",32,31,2,6,4,2,0,0,2,0,0,0,5,.194,.188,.258,.446,8,1,0,0,1,0,2025-06-17
94,CIN,2025-06-17,,MIN,"W, 6-5",39,30,6,5,3,2,0,0,6,2,0,8,8,.167,.359,.233,.592,7,0,1,0,0,0,2025-06-17
95,CLE,2025-06-17,@,SFG,"W, 3-2",35,32,3,6,2,2,1,1,3,0,0,2,6,.188,.229,.406,.635,13,0,0,0,1,0,2025-06-17
96,COL,2025-06-17,@,WSN,"W, 10-6",43,35,10,10,2,1,0,7,10,1,1,4,12,.286,.419,.914,1.333,32,1,4,0,0,0,2025-06-17
97,DET,2025-06-17,,PIT,"W, 7-3",35,31,7,9,3,1,1,4,7,0,0,3,7,.290,.371,.774,1.146,24,1,1,0,0,0,2025-06-17
98,MIA,2025-06-17,,PHI,"W, 8-3",41,35,8,12,9,0,1,2,7,2,0,5,7,.343,.415,.571,.986,20,1,0,0,1,0,2025-06-17
99,HOU,2025-06-17,@,ATH,"W, 13-3",50,40,13,15,7,3,0,5,12,0,2,7,4,.375,.500,.825,1.325,33,1,3,0,0,0,2025-06-17
100,KCR,2025-06-17,@,TEX,"W, 6-1",37,35,6,8,3,2,0,3,6,1,0,2,7,.229,.270,.543,.813,19,0,0,0,0,0,2025-06-17
101,LAD,2025-06-17,,SDP,"W, 8-6",38,34,8,12,7,2,0,3,8,0,0,2,5,.353,.395,.676,1.071,23,1,1,0,1,1,2025-06-17
102,MIL,2025-06-17,@,CHC,"L, 3-5",39,35,3,9,4,4,0,1,3,1,1,3,10,.257,.333,.457,.790,16,0,1,0,0,0,2025-06-17
103,MIN,2025-06-17,@,CIN,"L, 5-6",38,35,5,8,5,1,0,2,5,0,1,2,11,.229,.289,.429,.718,15,0,1,0,0,0,2025-06-17
104,NYM,2025-06-17,@,ATL,"L, 4-5 (10)",35,33,4,7,4,1,0,2,4,0,1,2,11,.212,.257,.424,.681,14,0,0,0,0,0,2025-06-17
105,NYY,2025-06-17,,LAA,"L, 0-4",33,31,0,4,3,1,0,0,0,1,0,2,12,.129,.182,.161,.343,5,0,0,0,0,0,2025-06-17
106,ATH,2025-06-17,,HOU,"L, 3-13",34,30,3,4,2,2,0,0,2,0,0,3,5,.133,.235,.200,.435,6,2,1,0,0,0,2025-06-17
107,PHI,2025-06-17,@,MIA,"L, 3-8",35,34,3,8,6,1,0,1,3,0,0,0,6,.235,.257,.353,.610,12,0,1,0,0,0,2025-06-17
108,PIT,2025-06-17,@,DET,"L, 3-7",32,32,3,5,4,1,0,0,3,0,1,0,6,.156,.156,.188,.344,6,0,0,0,0,0,2025-06-17
109,SDP,2025-06-17,@,LAD,"L, 6-8",41,32,6,9,7,1,0,1,5,2,0,6,9,.281,.415,.406,.821,13,3,2,0,1,1,2025-06-17
110,SEA,2025-06-17,,BOS,"W, 8-0",38,31,8,9,5,3,0,1,8,3,0,6,6,.290,.395,.484,.879,15,0,0,0,1,0,2025-06-17
111,SFG,2025-06-17,,CLE,"L, 2-3",42,35,2,10,8,2,0,0,2,0,0,5,10,.286,.390,.343,.733,12,0,1,1,0,0,2025-06-17
112,STL,2025-06-17,@,CHW,"W, 12-2",47,39,12,13,9,2,0,2,10,1,0,5,5,.333,.435,.538,.973,21,1,2,1,0,0,2025-06-17
113,TBR,2025-06-17,,BAL,"L, 1-5",35,32,1,7,6,1,0,0,1,0,0,3,7,.219,.286,.250,.536,8,1,0,0,0,0,2025-06-17
114,TEX,2025-06-17,,KCR,"L, 1-6",35,32,1,5,4,1,0,0,1,0,0,1,14,.156,.229,.188,.416,6,0,2,0,0,0,2025-06-17
115,TOR,2025-06-17,,ARI,"W, 5-4",38,34,5,9,3,3,0,3,5,0,0,1,8,.265,.342,.618,.960,21,0,3,0,0,0,2025-06-17
116,WSN,2025-06-17,,COL,"L, 6-10",43,39,6,12,7,3,0,2,5,1,0,4,4,.308,.372,.538,.911,21,1,0,0,0,0,2025-06-17
117,LAA,2025-06-16,@,NYY,"W, 1-0 (11)",42,40,1,7,5,1,1,0,1,1,0,2,7,.175,.214,.250,.464,10,0,0,0,0,1,2025-06-16
118,BAL,2025-06-16,@,TBR,"L, 1-7",30,28,1,4,3,0,0,1,1,0,0,2,11,.143,.200,.250,.450,7,2,0,0,0,0,2025-06-16
119,BOS,2025-06-16,@,SEA,"W, 2-0",33,30,2,4,2,0,1,1,2,0,0,3,12,.133,.212,.300,.512,9,1,0,0,0,0,2025-06-16
120,COL,2025-06-16,@,WSN,"W, 6-4",35,34,6,8,3,1,1,3,6,2,0,1,7,.235,.257,.588,.845,20,1,0,0,0,0,2025-06-16
121,MIA,2025-06-16,,PHI,"L, 2-5",35,31,2,5,4,0,1,0,2,0,0,1,7,.161,.229,.226,.454,7,0,2,0,1,0,2025-06-16
122,HOU,2025-06-16,@,ATH,"L, 1-3",33,32,1,8,5,2,0,1,1,0,0,1,9,.250,.273,.406,.679,13,2,0,0,0,0,2025-06-16
123,LAD,2025-06-16,,SDP,"W, 6-3",38,35,6,10,7,3,0,0,6,2,0,2,12,.286,.342,.371,.714,13,0,1,0,0,0,2025-06-16
124,NYY,2025-06-16,,LAA,"L, 0-1 (11)",43,39,0,8,6,2,0,0,0,1,0,3,10,.205,.262,.256,.518,10,1,0,1,0,2,2025-06-16
125,ATH,2025-06-16,,HOU,"W, 3-1",32,29,3,6,4,0,0,2,3,0,0,2,10,.207,.281,.414,.695,12,1,1,0,0,0,2025-06-16
126,PHI,2025-06-16,@,MIA,"W, 5-2",40,37,5,10,4,3,1,2,5,0,0,2,6,.270,.325,.568,.893,21,0,1,0,0,0,2025-06-16
127,SDP,2025-06-16,@,LAD,"L, 3-6",35,32,3,6,3,2,0,1,3,0,0,2,7,.188,.229,.344,.572,11,0,0,0,1,0,2025-06-16
128,SEA,2025-06-16,,BOS,"L, 0-2",34,30,0,4,4,0,0,0,0,1,0,4,15,.133,.235,.133,.369,4,1,0,0,0,0,2025-06-16
129,TBR,2025-06-16,,BAL,"W, 7-1",39,35,7,14,8,4,0,2,7,0,0,2,10,.400,.447,.686,1.133,24,2,1,1,0,0,2025-06-16
130,WSN,2025-06-16,,COL,"L, 4-6",34,28,4,4,1,1,0,2,4,2,1,5,4,.143,.265,.393,.658,11,1,0,0,1,0,2025-06-16
